,id,Nombre,Descubridor(es),Fecha,Observatorio o Sitio de observación
513,514,Armida,M. F. Wolf,24 de agosto de 1903,Observatorio de Heidelberg-Königstuhl
514,515,Athalia,M. F. Wolf,20 de septiembre de 1903,Observatorio de Heidelberg-Königstuhl
515,516,Amherstia,R. S. Dugan,20 de septiembre de 1903,Observatorio de Heidelberg-Königstuhl
516,517,Edith,R. S. Dugan,22 de septiembre de 1903,Observatorio de Heidelberg-Königstuhl
517,518,Halawe,R. S. Dugan,20 de octubre de 1903,Observatorio de Heidelberg-Königstuhl
518,519,Sylvania,R. S. Dugan,20 de octubre de 1903,Observatorio de Heidelberg-Königstuhl
519,520,Franziska,M. F. Wolf; P. Götz,27 de octubre de 1903,Observatorio de Heidelberg-Königstuhl
520,521,Brixia,R. S. Dugan,10 de enero de 1904,Observatorio de Heidelberg-Königstuhl
521,522,Helga,M. F. Wolf,10 de enero de 1904,Observatorio de Heidelberg-Königstuhl
522,523,Ada,R. S. Dugan,27 de enero de 1904,Observatorio de Heidelberg-Königstuhl
523,524,Fidelio,M. F. Wolf,14 de marzo de 1904,Observatorio de Heidelberg-Königstuhl
524,525,Adelaide,J. H. Metcalf,21 de octubre de 1908,Observatorio de Taunton
525,526,Jena,M. F. Wolf,14 de marzo de 1904,Observatorio de Heidelberg-Königstuhl
526,527,Euryanthe,M. F. Wolf,20 de marzo de 1904,Observatorio de Heidelberg-Königstuhl
527,528,Rezia,M. F. Wolf,20 de marzo de 1904,Observatorio de Heidelberg-Königstuhl
528,529,Preziosa,M. F. Wolf,20 de marzo de 1904,Observatorio de Heidelberg-Königstuhl
529,530,Turandot,M. F. Wolf,11 de abril de 1904,Observatorio de Heidelberg-Königstuhl
530,531,Zerlina,M. F. Wolf,12 de abril de 1904,Observatorio de Heidelberg-Königstuhl
531,532,Herculina,M. F. Wolf,20 de abril de 1904,Observatorio de Heidelberg-Königstuhl
532,533,Sara,R. S. Dugan,19 de abril de 1904,Observatorio de Heidelberg-Königstuhl
533,534,Nassovia,R. S. Dugan,19 de abril de 1904,Observatorio de Heidelberg-Königstuhl
534,535,Montague,R. S. Dugan,7 de mayo de 1904,Observatorio de Heidelberg-Königstuhl
