fecha,siglas,open,high,low,close,volume
2020-10-22,GME,14.2000,15.8700,14.1900,14.9100,16212232
2020-10-21,GME,13.9000,14.4200,13.8000,14.1000,5361928
2020-10-20,GME,14.0300,14.1430,13.6650,13.8600,6603951
2020-10-19,GME,13.4400,14.5000,13.3800,13.9100,13169073
2020-10-16,GME,13.7700,13.9000,13.0800,13.3100,11651578
2020-10-15,GME,11.9900,15.1000,11.9900,13.8300,39894822
2020-10-14,GME,12.6700,12.6800,12.0500,12.2500,10776762
2020-10-13,GME,11.7300,12.4200,11.6500,11.8800,10179708
2020-10-12,GME,11.6600,12.7662,11.4000,11.8000,23655701
2020-10-09,GME,12.8300,14.8000,11.9000,12.0200,77152780
2020-10-08,GME,9.5400,13.6400,9.1900,13.4900,76453557
2020-10-07,GME,9.2300,9.5600,9.1678,9.3600,3308644
2020-10-06,GME,9.5600,9.8350,9.1000,9.1300,4535421
2020-10-05,GME,9.4400,9.5900,9.2502,9.4600,2804969
2020-10-02,GME,9.3800,9.7800,9.3000,9.3900,4340484
2020-10-01,GME,10.0900,10.2500,9.6900,9.7700,4554055
2020-09-30,GME,10.2500,10.7597,10.0600,10.2000,6079033
2020-09-29,GME,10.0000,10.6500,9.9300,10.3500,5244339
2020-09-28,GME,10.1600,10.2600,9.5500,10.0900,6764323
2020-09-25,GME,9.1900,10.1826,9.1000,10.0200,7515157
2020-09-24,GME,9.7100,9.8100,9.0100,9.1400,7938838
2020-09-23,GME,10.6000,10.8600,9.9200,10.0400,10651152
2020-09-22,GME,10.4500,11.1699,9.9000,10.5600,34752484
2020-09-21,GME,9.3500,9.6000,8.3800,8.7500,7639806
2020-09-18,GME,9.2000,9.7700,8.9100,9.4700,17407513
2020-09-17,GME,8.5700,9.7700,8.4100,9.2000,17026720
2020-09-16,GME,7.0300,9.0400,7.0300,8.6800,19346508
2020-09-15,GME,6.8600,7.2600,6.6850,7.0900,5743489
2020-09-14,GME,6.8000,7.0000,6.4300,6.9100,10118972
2020-09-11,GME,6.2600,6.3300,5.8700,6.0900,6061190
2020-09-10,GME,6.6500,6.9500,6.1900,6.2300,15558278
2020-09-09,GME,7.9600,7.9900,7.3100,7.3500,9068082
2021-02-01,TSLA,814.2900,842.0000,795.5601,839.8100,25391385
2021-01-29,TSLA,830.0003,842.4100,780.1000,793.5300,34990754
2021-01-28,TSLA,820.0000,848.0000,801.0000,835.4300,26378048
2021-01-27,TSLA,870.3500,891.5000,858.6600,864.1600,27333955
2021-01-26,TSLA,891.3800,895.9000,871.6000,883.0900,23131603
2021-01-25,TSLA,855.0000,900.4000,838.8201,880.8000,41173397
2021-01-22,TSLA,834.3100,848.0000,828.6200,846.6400,20066497
2021-01-21,TSLA,855.0000,855.7199,841.4201,844.9900,20598133
2021-01-20,TSLA,858.7400,859.5000,837.2800,850.4500,25665883
2021-01-19,TSLA,837.8000,850.0000,833.0000,844.5500,25366980
2021-01-15,TSLA,852.0000,859.9000,819.1000,826.1600,38777596
2021-01-14,TSLA,843.3900,863.0000,838.7500,845.0000,31266327
2021-01-13,TSLA,852.7600,860.4700,832.0000,854.4100,33312496
2021-01-12,TSLA,831.0000,868.0000,827.3400,849.4400,45985569
2021-01-11,TSLA,849.4000,854.4300,803.6222,811.1900,59554146
2021-01-08,TSLA,856.0000,884.4900,838.3900,880.0200,75055528
2021-01-07,TSLA,777.6300,816.9900,775.2000,816.0400,51498948
2021-01-06,TSLA,758.4900,774.0000,749.1000,755.9800,44699965
2021-01-05,TSLA,723.6600,740.8400,719.2000,735.1100,32245165
2021-01-04,TSLA,719.4600,744.4899,717.1895,729.7700,48638189
2020-12-31,TSLA,699.9900,718.7200,691.1200,705.6700,49649928
2020-12-30,TSLA,672.0000,696.6000,668.3603,694.7800,42846021
2020-12-29,TSLA,661.0000,669.9000,655.0000,665.9900,22910811
2020-12-28,TSLA,674.5100,681.4000,660.8000,663.6900,31553561
2020-12-24,TSLA,642.9900,666.0900,641.0000,661.7700,22865568
2020-12-23,TSLA,632.2000,651.4999,622.5701,645.9800,33172972
2020-12-22,TSLA,648.0000,649.8800,614.2300,640.3400,51861644
2020-12-21,TSLA,666.2400,668.5000,646.0700,649.8600,58045264
2020-12-18,TSLA,668.9000,695.0000,628.5400,695.0000,222126194
2020-12-17,TSLA,628.1900,658.8200,619.5000,655.9000,56270144
2020-12-16,TSLA,628.2300,632.5000,605.0000,622.7700,42095813
2020-12-15,TSLA,643.2800,646.9000,623.8000,633.2500,45223559
2020-12-14,TSLA,619.0000,642.7499,610.2001,639.8300,52040649
2020-12-11,TSLA,615.0100,624.0000,596.8000,609.9900,46474974
2020-12-10,TSLA,574.3700,627.7500,566.3400,627.0700,67083153
2020-12-09,TSLA,653.6900,654.3200,588.0000,604.4800,71291190
2020-12-08,TSLA,625.5050,651.2800,618.5000,649.8800,64265029
2020-12-07,TSLA,604.9197,648.7856,603.0500,641.7600,56309709
2020-12-04,TSLA,591.0100,599.0400,585.5000,599.0400,29401314
2020-12-03,TSLA,590.0200,598.9700,582.4300,593.3800,42552003
2020-12-02,TSLA,556.4400,571.5400,541.2100,568.8200,47775653
2020-12-01,TSLA,597.5900,597.8500,572.0500,584.7600,39133346
2020-11-30,TSLA,602.2100,607.8000,554.5100,567.6000,63003052
2020-11-27,TSLA,581.1600,598.7800,578.4500,585.7600,37561078
2020-11-25,TSLA,550.0600,574.0000,545.3700,574.0000,48930162
2020-11-24,TSLA,540.4000,559.9900,526.2000,555.3800,52058771
2020-11-23,TSLA,503.5000,526.0000,501.7900,521.8500,50260304
2020-11-20,TSLA,497.9900,502.5000,489.0600,489.6100,32911922
2020-11-19,TSLA,492.0000,508.6112,487.5700,499.2700,62475346
2020-11-18,TSLA,448.3500,496.0000,443.5001,486.6400,78044024
2020-11-17,TSLA,460.1700,462.0000,433.0100,441.6100,61188281
2020-11-16,TSLA,408.9300,412.4500,404.0868,408.0900,26838635
2020-11-13,TSLA,410.8500,412.5319,401.6600,408.5000,19830351
2020-11-12,TSLA,415.0500,423.0000,409.5200,411.7600,19940500
2020-11-11,TSLA,416.4500,418.6950,410.5800,417.1300,17357722
2020-11-10,TSLA,420.0900,420.0900,396.0301,410.3600,30284224
2020-11-09,TSLA,439.5000,452.5000,421.0000,421.2600,34833025
2020-11-06,TSLA,436.1000,436.5700,424.2800,429.9500,21706014
2020-11-05,TSLA,428.3000,440.0000,424.0001,438.0900,28414523
2020-11-04,TSLA,430.6200,435.4000,417.1000,420.9800,32143057
2020-11-03,TSLA,409.7300,427.7700,406.6900,423.9000,34351715
2020-11-02,TSLA,394.0000,406.9799,392.3000,400.5100,29021118
2020-10-30,TSLA,406.8954,407.5915,379.1100,388.0400,42587639
2020-10-29,TSLA,409.9600,418.0600,406.4600,410.8300,22655308
2020-10-28,TSLA,416.4800,418.6000,406.0000,406.0200,25451409
2020-10-27,TSLA,423.7600,430.5000,420.1000,424.6800,22686506
2020-10-26,TSLA,411.6300,425.7600,410.0000,420.2800,28239161
2020-10-23,TSLA,421.8400,422.8859,407.3801,420.6300,33716980
2020-10-22,TSLA,441.9200,445.2300,424.5100,425.7900,39993191
2020-10-21,TSLA,422.7000,432.9500,421.2500,422.6400,32370461
2020-10-20,TSLA,431.7500,431.7500,419.0501,421.9400,31656289
2020-10-19,TSLA,446.2400,447.0000,428.8700,430.8300,36287843
2020-10-16,TSLA,454.4400,455.9499,438.8500,439.6700,32775879
2020-10-15,TSLA,450.3100,456.5700,442.5000,448.8800,35672354
